Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
27-2-3,134,49501.43,59415.4,true,,,2,437,0,0,1,0,3,Daily1,Yes
27-2-4,134,49503.73,59798.61,,,,,,,,,,,,
27-2-5,134,49505.11,60096.65,,,,,,,,,,,,
27-2-54,134,49906.6,60781.27,,,,,,,,,,,,
27-2-55,134,49980.09,60772.75,true,,,2,85,0,0,1,0,3,Daily1,Yes
27-2-6,134,49507.01,60446.73,,,,,,,,,,,,
27-2-69,134,50516.22,60732.36,,,,,,,,,,,,
27-2-69.1,134,50267.1,60739.64,,,,,,,,,,,,
27-2-7,134,49507.61,60828.97,true,,,2,239,0,0,1,0,3,Daily1,Yes
27-2-70,134,50704.66,60734.83,,,,,,,,,,,,
27-2-71,134,51054.9,60731.18,,,,,,,,,,,,
27-3-102,134,53552.05,60712.18,,,,,,,,,,,,
27-3-103,134,53899.84,60711.69,,,,,,,,,,,,
27-3-104,134,54250.37,60712.84,,,,,,,,,,,,
27-3-105,134,54545.02,60709.85,true,,,2,124,0,0,1,0,3,Daily1,Yes
27-3-87,134,52499.2,60717.27,,,,,,,,,,,,
27-3-88,134,52903.24,60715.1,,,,,,,,,,,,
27-3-89,134,53205.59,60713.7,,,,,,,,,,,,
27-3-90,134,53328.22,60713.23,true,,,2,70,0,0,1,0,3,Daily1,Yes
27-4-24,134,52342.73,56740.79,true,,,2,140,0,0,1,0,3,Daily1,Yes
27-4-25,134,52897.49,56733.18,true,,,2,72,0,0,1,0,3,Daily1,Yes
27-4-29,134,53068.79,56649.39,true,true,0,2,16,0,0,1,0,3,Daily1,Yes
27-4-31,134,53172.32,56599.69,,true,0,,,,,,,,,
27-4-32,134,53432.54,56339.77,,,,,,,,,,,,
27-4-33,134,53646.89,56127.31,,,,,,,,,,,,
27-4-34,134,53762.77,56012.89,true,,,2,47,0,0,1,0,3,Daily1,Yes
27-4-37,134,53929.49,55845.5,,,,,,,,,,,,
27-4-38,134,54177.96,55598.77,,,,,,,,,,,,
27-4-39,134,54343.04,55479.39,,,,,,,,,,,,
27-4-49,134,54525.52,56791.46,true,,,2,202,0,0,1,0,3,Daily1,Yes
28-1-21,134,44648.6,57590.91,true,,,2,190,0,0,1,0,3,Daily1,Yes
28-1-30,134,44852.39,57506.02,,,,,,,,,,,,
28-1-30.1,134,44925.85,57424.76,true,true,0,2,8,0,0,1,0,3,Daily1,Yes
28-1-31,134,44976.51,57368.08,true,,,2,2,0,0,1,0,3,Daily1,Yes
28-1-33,134,45035.02,57298.79,true,,,2,12,0,0,1,0,3,Daily1,Yes
28-1-37,134,45236.36,57069.9,,,,,,,,,,,,
28-1-38,134,45369.69,57057.28,true,,,2,44,0,0,1,0,3,Daily1,Yes
28-1-49,134,45578.29,57040.07,,true,0,,,,,,,,,
28-1-50,134,45655.03,57027.14,true,,,2,4,0,0,1,0,3,Daily1,Yes
28-1-53,134,45757.42,57011.56,true,,,2,4,0,0,1,0,3,Daily1,Yes
28-1-55,134,45776.61,57006.96,true,,,,,,,,,,,
28-1-56,134,46028.79,56878.64,true,,,2,6,0,0,1,0,3,Daily1,Yes
28-1-60,134,46132.31,56865.84,true,,,2,13,0,0,1,0,3,Daily1,Yes
28-1-66,134,46630.95,56809.97,true,,,2,51,0,0,1,0,3,Daily1,Yes
28-1-74,134,46648.69,56807.46,true,true,0,,,,,,,,,
28-1-75,134,46669.69,56802.11,true,,,2,3,0,0,1,0,3,Daily1,Yes
28-1-77,134,46844.45,56751.25,true,,,2,46,0,0,1,0,3,Daily1,Yes
28-1-83,134,44497.98,58442,,true,0,,,,,,,,,
28-1-84,134,44563.23,58201.64,,true,0,,,,,,,,,
28-1-85,134,44503.37,58075.66,true,true,0,2,11,0,0,1,0,3,Daily1,Yes
28-1-86,134,44428.18,57935.4,,true,0,,,,,,,,,
28-1-87,134,44448.93,57872.39,true,true,0,,,,,,,,,
28-1-88,134,44415.82,57611.63,true,true,0,2,43,0,0,1,0,3,Daily1,Yes
28-1-89,134,44475.61,57604.61,,true,0,,,,,,,,,
28-2-58,134,46863.17,59757.83,true,,,2,169,0,0,1,0,3,Daily1,Yes
28-2-59,134,46864.17,59957.59,true,,,2,22,0,0,1,0,3,Daily1,Yes
28-2-63,134,46865.38,60060.28,,,,,,,,,,,,
