name,type_code,us_node,ds_node,length,diameter,slope,roughness,shape,us_invert,ds_invert
1620,136,6-2-17,6-2-16,314.16,2.5,0.18,0.013,1,4254.8,4254.24
1621,136,6-2-18,6-2-17,462.94,2.5,0.17,0.013,1,4255.58,4254.81
1622,136,6-2-19,6-2-18,222.33,2.5,0.04,0.013,1,4255.67,4255.59
1627,136,6-2-24,6-2-19,99.8,2.5,0.27,0.013,1,4256.02,4255.75
1628,136,6-2-24S1,6-2-24,6,2.5,-67,0.013,1,4252,4256.02
1628S1,136,6-2-24S2,6-2-24S1,12.12,2.5,0,0.013,1,4252,4252
1628S2,136,6-2-25,6-2-24S2,6,2.5,42.833,0.013,1,4254.57,4252
1629,136,6-2-26,6-2-25,192.52,2.5,0.93,0.013,1,4256.37,4254.57
163,136,1N-3-8,1N-3-7,214.87,2.75,0.163,0.013,1,4251.38,4251.03
1631,136,6-2-28,6-2-26,102.65,2.5,0.09,0.013,1,4256.46,4256.37
1637,136,6-2-28.1,6-2-28,71.97,2.5,0.111,0.013,1,4256.61,4256.53
1638,136,6-2-33,6-2-28.1,366.86,2.5,0.115,0.013,1,4257.04,4256.62
1639,136,6-2-34,6-2-33,276.86,2.5,0.119,0.013,1,4257.43,4257.1
164,136,1N-3-9,1N-3-8,191.55,2.75,0.24,0.013,1,4251.85,4251.39
1640,136,6-2-35,6-2-34,448,2.5,0.11,0.013,1,4257.99,4257.5
1641,136,6-2-36,6-2-35,409.93,2.5,0.16,0.013,1,4258.67,4258.02
1642,136,6-2-37,6-2-36,540.68,2.5,0.124,0.013,1,4259.37,4258.7
1644,136,6-4-19,6-2-37,449.65,2.5,0.189,0.013,1,4260.32,4259.47
1645,136,6-2-16,6-2-39,344.78,2.5,0.04,0.013,1,4254.13,4253.98
165,136,1N-3-10,1N-3-9,376.77,2.75,0.25,0.013,1,4252.8,4251.86
1652,136,7-3-5,6-4-1,420.5,1.75,0.93,0.013,1,4276.75,4272.84
1653,136,6-4-1,6-4-2,143.7,1.5,0.8,0.013,1,4272.73,4271.58
1654,136,6-4-2,6-4-3,19.99,1.5,1.25,0.013,1,4271.49,4271.24
1655,136,6-4-3,6-4-4,265.3,1.75,1.01,0.013,1,4271.14,4268.47
1656,136,6-4-4,6-4-5,22.36,1.75,0.984,0.013,1,4268.3,4268.08
