name,id,x,y,ground_elevation,invert_elevation,node_type
21-1-3,134,45071.73,61357.01,4462.88,4453.77,19
21-1-39,134,45650.67,62980.56,4430.67,4420.59,19
21-1-51,134,45687.31,62981.52,4431.12,4421.04,19
21-1-53,134,45931.06,62978.09,4433.2,4423.62,19
21-1-53.1,134,45991.75,62977.31,4433.56,4424.21,
21-1-57,134,45989.01,62987.05,4433.58,4425.22,
21-1-58,134,46208.95,62986.34,4434.78,4426.11,19
21-1-63,134,46203.17,62976.61,4434.69,4426.77,
21-1-64,134,46403.43,62975.66,4435.72,4429.38,
21-1-65,134,46518.53,62974.95,4436.07,4429.53,
21-1-66,134,46187.16,62708.44,4438.96,4429.49,
21-1-67,134,46163.09,62403.76,4443.98,4433.27,
21-1-68,134,46239.63,62297.22,4446.87,4435.08,19
21-1-70,134,46339.93,62384.82,4447.55,4438.18,
21-1-71,134,46430.83,62282.28,4451.03,4442.15,
21-1-72,134,46566.22,62276.72,4453.97,4443.95,19
21-1-74,134,46736.66,62269.95,4452.29,4445.13,
21-1-75,134,46838.97,62048.67,4456.07,4447.07,19
21-1-76,134,46808.14,61949.89,4457.78,4449.18,
21-1-77,134,46803.02,61496.23,4467.81,4457.22,19
21-2-20,134,44711.11,64674.82,4408.39,4398.59,19
21-2-21,134,44317.07,64678.65,4405.19,4395.71,
21-2-22,134,44769.98,64674.34,4408.84,4399,
21-2-23,134,45222.6,64670.63,4411.55,4402.5,
21-2-23.1,134,45324.05,64669.98,4411.93,4403.15,19
21-2-24,134,45643.11,64667.19,4414.86,4405.69,19
21-2-54,134,44436.31,65403.86,4400.14,4389.43,19
21-2-56,134,44526.63,65570.69,4401.14,4390.5,
21-2-57,134,44756.96,65569.8,4402.8,4391.27,
21-2-58,134,44775.31,65592.82,4402.67,4392.12,19
21-2-58.1,134,44827.05,65657.66,4403.99,4392.46,
21-2-71,134,44973.54,65737.13,4403.36,4392.88,
21-2-72,134,45269.06,65922.19,4403.04,4394.47,19
21-2-89,134,45626.78,66079.35,4404.08,4396.01,
21-2-90,134,45763.02,66009.36,4405.99,4396.62,
21-2-91,134,46021.02,66199.11,4404.83,4397.68,19
21-2-94,134,46186.56,66100.29,4407.4,4398.79,19
21-3-68,134,49175.86,66051.13,4432.79,4421.68,19
21-3-82,134,48068.53,63416.03,4449.63,4444.4,
21-3-83,134,48176.23,63418.3,4449.32,4444.71,
21-3-84,134,48399.05,63422.39,4453.72,4445.04,
21-3-84.1,134,48663.72,63416.62,4458.37,4449.87,
21-3-85,134,48871.5,63409.72,4460.83,4454.5,
21-3-86,134,49324.39,63406.44,4463.69,4456.55,
21-3-87,134,49525.15,63406.55,4468.63,4457.69,19
21-4-1,134,46875.09,61156.16,4500.37,4492.92,19
21-4-100,134,49518.19,61886.19,4506.66,4497.38,
21-4-101,134,49511.74,61784.64,4508.64,4499.15,
21-4-102,134,49510.95,61537.64,4513.55,4503.83,
21-4-103,134,49509.95,61188.02,4518.73,4509.84,
21-4-15,134,47199.27,61445.18,4472.91,4467.26,
21-4-16,134,47600.41,61393.32,4481.83,4474.22,
21-4-17,134,47885.33,61356.98,4487.51,4480.9,19
21-4-2,134,47345.36,61097.26,4502.78,4490.87,
21-4-3,134,47364.33,61095.1,4502.85,4490.78,19
21-4-4,134,47824.58,61037.39,4500.55,4489.24,
21-4-42,134,46938.67,62973.79,4442.87,4433.08,
21-4-43,134,47083.32,63139.73,4444.96,4434.22,
21-4-44,134,47583.83,63246.77,4448.88,4435.74,19
21-4-45,134,47597.43,63266.58,4448.89,4442.77,
21-4-46,134,47669.04,63290.33,4449.9,4443.77,
21-4-5,134,47936.29,61025.68,4501.07,4490.52,19
21-4-94,134,49525.04,63384.41,4468.03,4459.52,
21-4-95,134,49522.6,63038.81,4475.89,4465.23,
21-4-96,134,49521.32,62788.94,4481.69,4471.08,19
21-4-97,134,49520.3,62631.96,4484.83,4474.6,
21-4-98,134,49519.22,62286.04,4494.89,4485.68,19
21-4-99,134,49519.68,62049.38,4502.54,4492.44,19
22-1-39,134,49617.51,63403.15,4470.38,4459.27,
22-1-40,134,49890.19,63373.98,4477.72,4461.98,19
22-2-1,134,49934.92,63537.45,4476.47,4463.16,
22-2-22,134,50218.03,63916.82,4478.25,4468.35,
22-2-23,134,50359.76,64035.2,4479.31,4471.39,
22-2-24,134,50443.49,64063.11,4480.11,4472.94,
22-2-25,134,50692.19,64063.4,4488.43,4479,19
22-2-26,134,51031.13,64065.58,4497.22,4482.5,
22-2-27,134,51032.81,64293.26,4492.54,4483.64,
22-2-28,134,51242.7,64333.08,4500.89,4489.79,
22-2-29,134,51326.89,64367.31,4501.74,4490.57,
22-2-3.1,134,49998.11,63730.11,4475.22,4464.41,19
22-2-30,134,51341.5,64375.12,4501.54,4494.24,
22-2-31,134,51660.06,64373.08,4505.26,4500.89,
22-2-32,134,52169.38,64368.91,4515.01,4504.06,
22-2-32.1,134,52176.37,64196.77,4519.42,4511.13,
22-3-1,134,52191.26,63377.56,4535.82,4525.21,
22-3-2,134,52192.89,63797.94,4529.37,4519.14,
